"vocabularyName","value","parent","displayValue","displayValueDescription"
"artefacts","Urine/Faecal Sample","Specimen","Urine/Faecal Sample","Urine/Faecal Sample,,"
"artefacts","Water Sample","Specimen","Water Sample","Water sample,,"
"conservationManagement","Agrochemical Management",,"Agrochemical Management","Agrochemical Management"
"conservationManagement","Animal Health",,"Animal Health","Animal Health"
"conservationManagement","Biosecurity",,"Biosecurity","Biosecurity,,"
"conservationManagement","Critical Habitat",,"Critical Habitat","Critical habitat,,"
"conservationManagement","Environmental Water Management",,"Environmental Water Management","Environmental Water Management,,"
"conservationManagement","Fire Management",,"Fire Management","Fire Management,,"
"conservationManagement","Habitat Restoration",,"Habitat Restoration","Habitat Restoration,,"
"conservationManagement","Human Wildlife Interactions",,"Human Wildlife Interactions","Human Wildlife Interactions,,"
"conservationManagement","Landscape-Scale Management",,"Landscape-Scale Management","Landscape-scale Management,,"
"conservationManagement","Market-Based Approaches",,"Market-Based Approaches","Market-based Approaches,,"
"conservationManagement","Migratory Species",,"Migratory Species","Migratory species,,"
"conservationManagement","National Reserve System",,"National Reserve System","National Reserve System,,"
"conservationManagement","None",,"None","None,,"
"conservationManagement","Other",,"Other","Other,,"
"conservationManagement","Special Management Populations",,"Special Management Populations","Special Management Populations,,"
"conservationManagement","Threatened Ecological Communities",,"Threatened Ecological Communities","Threatened Ecological Communities,,"
"conservationManagement","Threatened Species",,"Threatened Species","Threatened Species,,"
"conservationManagement","Translocation/Re-Introduction/Ex Situ Conservation",,"Translocation/Re-Introduction/Ex Situ Conservation","Translocation/Re-introduction/Ex situ conservation,,"
"conservationManagement","Vertebrate/Invertebrate Pest Species Management",,"Vertebrate/Invertebrate Pest Species Management","Vertebrate/Invertebrate Pest Species Management,,"
"conservationManagement","Weed Management",,"Weed Management","Weed Management,,"
"conservationManagement","Wildlife Corridors",,"Wildlife Corridors","Wildlife Corridors,,"
"coordinateReferenceSystem","EPSG:4283",,"GDA94","Lon Lat GDA94 Datum,,"
"coordinateReferenceSystem","EPSG:3577",,"GDA94 - Australian Albers","GDA94 - Australian Albers,,"
"coordinateReferenceSystem","EPSG:3112",,"GDA94 - Lambert","GDA94 - Lambert,,"
"coordinateReferenceSystem","EPSG:28349",,"MGA Zone 49","UTM MGA Zone 49,,"
"coordinateReferenceSystem","EPSG:28350",,"MGA Zone 50","UTM MGA Zone 50,,"
"coordinateReferenceSystem","EPSG:28351",,"MGA Zone 51","UTM MGA Zone 51,,"
"coordinateReferenceSystem","EPSG:28352",,"MGA Zone 52","UTM MGA Zone 52,,"
"coordinateReferenceSystem","EPSG:28353",,"MGA Zone 53","UTM MGA Zone 53,,"
"coordinateReferenceSystem","EPSG:28354",,"MGA Zone 54","UTM MGA Zone 54,,"
"coordinateReferenceSystem","EPSG:28355",,"MGA Zone 55","UTM MGA Zone 55,,"
"coordinateReferenceSystem","EPSG:28356",,"MGA Zone 56","UTM MGA Zone 56,,"
"coordinateReferenceSystem","EPSG:28357",,"MGA Zone 57","UTM MGA Zone 57,,"
"coordinateReferenceSystem","EPSG:28358",,"MGA Zone 58","UTM MGA Zone 58,,"
"coordinateReferenceSystem","EPSG:4326",,"WGS84","Lon Lat WGS84 Datum,,"
"ecologicalTheme","Agroecology",,"Agroecology","Observations on populations of species and communities and ecological processes that operate and influence biota in agricultural production systems.,,"
"ecologicalTheme","Behavioural Ecology",,"Behavioural Ecology","Behavioural ecology is the study of the fitness consequences of behaviour. It combines the study of animal behaviour with evolutionary biology and population ecology, and more recently, physiology and molecular biology. Observations are made on individuals in  such areas as habitat selection, foraging, anti-predator, mating, and parental care strategies; dispersal and migration, sexual selection; cooperation and conflict; communication; spacing and group behaviour; and social organisation.,,"
"ecologicalTheme","Biogeography",,"Biogeography","Observations on a large scale of the spatial distributions of species and ecosystems in relation to climate and soil.,,"
"ecologicalTheme","Bioregional Inventory",,"Bioregional Inventory","The systematic survey of fauna and flora at different locations to identify the composition and distribution on taxa.,,"
"ecologicalTheme","Chemical Ecology",,"Chemical Ecology","Observations made on the origin, function and significance of natural chemicals that mediate interactions with and between organisms (e.g., insect pheromones)..,,"
"ecologicalTheme","Competition/Resource Partitioning",,"Competition/Resource Partitioning","Observations made on populations of two or more species coexisting in and competing for resources in the same habitat.,,"
"ecologicalTheme","Decomposition",,"Decomposition","The study of the process of decaying biomass.,,"
"ecologicalTheme","Disease Ecology",,"Disease Ecology","Observations made on populations, communities and ecosystems studying  the interactions between  Parasitic, bacterial and viral infections, their animal hosts and their environment. ,,"
"ecologicalTheme","Disturbances",,"Disturbances","Observations on environmental disturbances (e.g., changed fire regimes, climate change, invasive species) and their influence on populations, ecological community and ecosystems.,,"
"ecologicalTheme","Ecological Succession",,"Ecological Succession","Observations on the gradual and orderly process of change in species structure of ecological communities of an ecosystem over time.,,"
"ecologicalTheme","Ecophysiology",,"Ecophysiology","Observations on the interrelationship of an organism???s functioning and physiological adaptation to the environment (e.g., temperature extremes). ,,"
"ecologicalTheme","Ecosystem Modelling",,"Ecosystem Modelling","Ecosystem modelling is the practice of applying numerical tools that combine observations of species distributions, species interactions with environmental estimates of ecosystems to understand functional change in ecosystems. ,,"
"ecologicalTheme","Ecotoxicology",,"Ecotoxicology","Observations made on the effects of toxic chemicals on individuals of populations (e.g., stress of agricultural chemicals).,,"
"ecologicalTheme","Evolutionary Ecology",,"Evolutionary Ecology","Observations made on organisms to understand the evolutionary influences on ecological processes or the ecological influence on evolutionary processes (e.g., genetics, behaviour, life histories, mating systems).,,"
"ecologicalTheme","Fire Ecology",,"Fire Ecology","Observations made on fire behaviour, its effects on biota and ecosystems, including predictions about behaviour.,,"
"ecologicalTheme","Functional Ecology",,"Functional Ecology","The study of the roles or functions that species play in the community or ecosystem in which they occur.,,"
"ecologicalTheme","Global Ecology",,"Global Ecology","The study of the interactions among the Earth's species occurrence, ecological communities, functional complexity ecosystems, land, atmosphere and oceans at a whole of globe scale.,,"
"ecologicalTheme","Herbivory",,"Herbivory","The study of animals that feeds chiefly on grass and other plants.,,"
"ecologicalTheme","Landscape Ecology",,"Landscape Ecology","Observations made on many species simultaneously in relation to their environment with a focus on spatial patterns and processes related to them. ,,"
"ecologicalTheme","Long-Term Community Monitoring",,"Long-Term Community Monitoring","The systematic study of communities over long time frames.,,"
"ecologicalTheme","Long-Term Species Monitoring",,"Long-Term Species Monitoring","Observations made on populations of species where the focus is the study of trends in populations and ecological processes over long temporal scales.  L,,"
"ecologicalTheme","Macroecology",,"Macroecology","The study of relationships between organisms and their environment at large spatial scales to characterise and explain statistical patterns of abundance, distribution and diversity.,,"
"ecologicalTheme","Molecular Ecology",,"Molecular Ecology","Observations on organisms using molecular genetic approaches that investigate the interactions among species (including difficult to culture microbes), the genetics and evolution of ecologically important traits, the relatedness among individuals and (based on this information) their dispersal and behaviour, the movement of individuals across landscapes, the formation of new species and the consequences of hybridization between divergent lineages..,,"
"ecologicalTheme","None",,"None","None,,"
"ecologicalTheme","Other",,"Other","Other,,"
"ecologicalTheme","Paleoecology",,"Paleoecology","The study of fossil organisms and their associated remains, including their life cycle, living interactions, natural environment, and manner of death and burial to reconstruct the paleoenvironment.,,"
"ecologicalTheme","Pollination",,"Pollination","The study of the distribution of pollen (wind-born or transported by animals) and the efficiency of pollen fertilisation.,,"
"ecologicalTheme","Population Dynamics",,"Population Dynamics","Observations made on the abundance, distribution and growth of a group of individuals of a single species living and interacting in the same area, including predictions of population shifts.,,"
"ecologicalTheme","Predator-Prey Interactions",,"Predator-Prey Interactions","Observation made on the interaction of populations of predator(s) on prey species populations. ,,"
"ecologicalTheme","Productivity",,"Productivity","The study of the generation of biomass in an ecosystem.,,"
"ecologicalTheme","Restoration Ecology",,"Restoration Ecology","The study of renewing and restoring degraded, damaged, or destroyed ecosystems and habitats in the environment by active human intervention and action.,,"
"ecologicalTheme","Soil Ecology",,"Soil Ecology","The study of the interactions among soil organisms, and between biotic and abiotic aspects of the soil environment.,,"
"ecologicalTheme","Species Decline",,"Species Decline","Observations are made on the critical decline and/or disappearance of populations of a species  A specialised research area of population ecology.,,"
"ecologicalTheme","Species Distribution Modelling",,"Species Distribution Modelling","Species distribution modelling is the practice of applying numerical tools that combine observations of species occurrence or abundance with environmental estimates. They are used to gain ecological and evolutionary insights and to predict distributions across landscapes in space and time. ,,"
"ecologicalTheme","Symbyotic Interactions",,"Symbyotic Interactions","The study of the relation between two different kinds of organisms in which one receives benefits from the other by causing damage to it (usually not fatal damage _ mutualism, commensulaism, parasitism).,,"
"ecologicalTheme","Urban Ecology",,"Urban Ecology","The study of the relation of living organisms with each other and their surroundings in the context of built-up human environments.,,"
"ecologicalTheme_1","Agroecology",,"Agroecology","Observations on populations of species and communities and ecological processes that operate and influence biota in agricultural production systems.,,"
"ecologicalTheme_1","Behavioural Ecology",,"Behavioural Ecology","Behavioural ecology is the study of the fitness consequences of behaviour. It combines the study of animal behaviour with evolutionary biology and population ecology, and more recently, physiology and molecular biology. Observations are made on individuals in  such areas as habitat selection, foraging, anti-predator, mating, and parental care strategies; dispersal and migration, sexual selection; cooperation and conflict; communication; spacing and group behaviour; and social organisation.,,"
"ecologicalTheme_1","Biodiversity Inventory",,"Biodiversity Inventory","The systematic survey of fauna and flora at different locations to identify the composition and distribution on taxa.,,"
"ecologicalTheme_1","Species Composition","Biodiversity Inventory","Species Composition",
"ecologicalTheme_1","Structural Assemblage","Biodiversity Inventory","Structural Assemblage",
"ecologicalTheme_1","Biogeography",,"Biogeography","Observations on a large scale of the spatial distributions of species and ecosystems in relation to climate and soil.,,"
"ecologicalTheme_1","Chemical Ecology",,"Chemical Ecology","Observations made on the origin, function and significance of natural chemicals that mediate interactions with and between organisms (e.g., insect pheromones)..,,"
"ecologicalTheme_1","Competition/Resource Partitioning",,"Competition/Resource Partitioning","Observations made on populations of two or more species coexisting in and competing for resources in the same habitat.,,"
"ecologicalTheme_1","Decomposition",,"Decomposition","The study of the process of decaying biomass.,,"
"ecologicalTheme_1","Disease Ecology",,"Disease Ecology","Observations made on populations, communities and ecosystems studying  the interactions between  Parasitic, bacterial and viral infections, their animal hosts and their environment. ,,"
"ecologicalTheme_1","Disturbances",,"Disturbances","Observations on environmental disturbances (e.g., changed fire regimes, climate change, invasive species) and their influence on populations, ecological community and ecosystems.,,"
"ecologicalTheme_1","Ecological Succession",,"Ecological Succession","Observations on the gradual and orderly process of change in species structure of ecological communities of an ecosystem over time.,,"
"ecologicalTheme_1","Ecophysiology",,"Ecophysiology","Observations on the interrelationship of an organism??_s functioning and physiological adaptation to the environment (e.g., temperature extremes). ,,"
"ecologicalTheme_1","Ecosystem Modelling",,"Ecosystem Modelling","Ecosystem modelling is the practice of applying numerical tools that combine observations of species distributions, species interactions with environmental estimates of ecosystems to understand functional change in ecosystems. ,,"
"ecologicalTheme_1","Ecotoxicology",,"Ecotoxicology","Observations made on the effects of toxic chemicals on individuals of populations (e.g., stress of agricultural chemicals).,,"
"ecologicalTheme_1","Evolutionary Ecology",,"Evolutionary Ecology","Observations made on organisms to understand the evolutionary influences on ecological processes or the ecological influence on evolutionary processes (e.g., genetics, behaviour, life histories, mating systems).,,"
"ecologicalTheme_1","Fire Ecology",,"Fire Ecology","Observations made on fire behaviour, its effects on biota and ecosystems, including predictions about behaviour.,,"
"ecologicalTheme_1","Functional Ecology",,"Functional Ecology","The study of the roles or functions that species play in the community or ecosystem in which they occur.,,"
"ecologicalTheme_1","Global Ecology",,"Global Ecology","The study of the interactions among the Earth's species occurrence, ecological communities, functional complexity ecosystems, land, atmosphere and oceans at a whole of globe scale.,,"
"ecologicalTheme_1","Herbivory",,"Herbivory","The study of animals that feeds chiefly on grass and other plants.,,"
"ecologicalTheme_1","Landscape Ecology",,"Landscape Ecology","Observations made on many species simultaneously in relation to their environment with a focus on spatial patterns and processes related to them. ,,"
"ecologicalTheme_1","Long-Term Community Monitoring",,"Long-Term Community Monitoring","The systematic study of communities over long time frames.,,"
"ecologicalTheme_1","Long-Term Species Monitoring",,"Long-Term Species Monitoring","Observations made on populations of species where the focus is the study of trends in populations and ecological processes over long temporal scales.  L,,"
"ecologicalTheme_1","Macroecology",,"Macroecology","The study of relationships between organisms and their environment at large spatial scales to characterise and explain statistical patterns of abundance, distribution and diversity.,,"
"ecologicalTheme_1","Molecular Ecology",,"Molecular Ecology","Observations on organisms using molecular genetic approaches that investigate the interactions among species (including difficult to culture microbes), the genetics and evolution of ecologically important traits, the relatedness among individuals and (based on this information) their dispersal and behaviour, the movement of individuals across landscapes, the formation of new species and the consequences of hybridization between divergent lineages..,,"
"ecologicalTheme_1","None",,"None","None,,"
"ecologicalTheme_1","Other",,"Other","Other,,"
"ecologicalTheme_1","Paleoecology",,"Paleoecology","The study of fossil organisms and their associated remains, including their life cycle, living interactions, natural environment, and manner of death and burial to reconstruct the paleoenvironment.,,"
"ecologicalTheme_1","Pollination",,"Pollination","The study of the distribution of pollen (wind-born or transported by animals) and the efficiency of pollen fertilisation.,,"
"ecologicalTheme_1","Population Dynamics",,"Population Dynamics","Observations made on the abundance, distribution and growth of a group of individuals of a single species living and interacting in the same area, including predictions of population shifts.,,"
"ecologicalTheme_1","Predator-Prey Interactions",,"Predator-Prey Interactions","Observation made on the interaction of populations of predator(s) on prey species populations. ,,"
"ecologicalTheme_1","Productivity",,"Productivity","The study of the generation of biomass in an ecosystem.,,"
"ecologicalTheme_1","Restoration Ecology",,"Restoration Ecology","The study of renewing and restoring degraded, damaged, or destroyed ecosystems and habitats in the environment by active human intervention and action.,,"
"ecologicalTheme_1","Soil Ecology",,"Soil Ecology","The study of the interactions among soil organisms, and between biotic and abiotic aspects of the soil environment.,,"
"ecologicalTheme_1","Species Decline",,"Species Decline","Observations are made on the critical decline and/or disappearance of populations of a species  A specialised research area of population ecology.,,"
"ecologicalTheme_1","Species Distribution Modelling",,"Species Distribution Modelling","Species distribution modelling is the practice of applying numerical tools that combine observations of species occurrence or abundance with environmental estimates. They are used to gain ecological and evolutionary insights and to predict distributions across landscapes in space and time. ,,"
"ecologicalTheme_1","Symbyotic Interactions",,"Symbyotic Interactions","The study of the relation between two different kinds of organisms in which one receives benefits from the other by causing damage to it (usually not fatal damage _ mutualism, commensulaism, parasitism).,,"
"ecologicalTheme_1","Urban Ecology",,"Urban Ecology","The study of the relation of living organisms with each other and their surroundings in the context of built-up human environments.,,"
"environmentalFeatures","Climate",,"Climate","Climate,,"
"environmentalFeatures","Humidity","Climate","Humidity","Humidity,,"
"environmentalFeatures","Light Measurements","Climate","Light Measurements","Light measurements,,"
"environmentalFeatures","Microclimate","Climate","Microclimate","Microclimate,,"
"environmentalFeatures","Rainfall","Climate","Rainfall","Rainfall,,"
"environmentalFeatures","Temperature","Climate","Temperature","Temperature,,"
"environmentalFeatures","Disturbance",,"Disturbance","Disturbance,,"
"environmentalFeatures","Biotic Disturbance","Disturbance","Biotic Disturbance","Biotic disturbance,,"
"environmentalFeatures","Disease","Disturbance","Disease","Disease,,"
"environmentalFeatures","Fire","Disturbance","Fire","Fire,,"
"environmentalFeatures","Mass Movement","Disturbance","Mass Movement","Mass movement,,"
"environmentalFeatures","Water Erosion","Disturbance","Water Erosion","Water erosion,,"
"environmentalFeatures","Wind Erosion","Disturbance","Wind Erosion","Wind erosion,,"
"environmentalFeatures","Geology/Lithology",,"Geology/Lithology","Geology/Lithology,,"
"environmentalFeatures","Bedrock Lithology","Geology/Lithology","Bedrock Lithology","Bedrock Lithology,,"
"environmentalFeatures","Geological Unit","Geology/Lithology","Geological Unit","Geological Unit,,"
"environmentalFeatures","Surface Lithology","Geology/Lithology","Surface Lithology","Surface Lithology,,"
"environmentalFeatures","Landscape Type",,"Landscape Type","Landscape Type,,"
"environmentalFeatures","Deserts","Landscape Type","Deserts","Deserts,,"
"environmentalFeatures","Drainage","Landscape Type","Drainage","Drainage,,"
"environmentalFeatures","Dune Systems","Landscape Type","Dune Systems","Dune Systems,,"
"environmentalFeatures","Floodplains","Landscape Type","Floodplains","Floodplains,,"
"environmentalFeatures","Islands","Landscape Type","Islands","Islands,,"
"environmentalFeatures","Mountains","Landscape Type","Mountains","Mountains,,"
"environmentalFeatures","Significant Rock Features","Landscape Type","Significant Rock Features","Significant Rock Features,,"
"environmentalFeatures","Waterfalls","Landscape Type","Waterfalls","Waterfalls,,"
"environmentalFeatures","Land Use",,"Land Use","Land Use,,"
"environmentalFeatures","Forests","Land Use","Forests","Forests,,"
"environmentalFeatures","Carbon Forestry","Forests","Carbon Forestry","Carbon Forestry,,"
"environmentalFeatures","Forest Management","Forests","Forest Management","Forest Management,,"
"environmentalFeatures","Old Growth Forests","Forests","Old Growth Forests","Old Growth Forests,,"
"environmentalFeatures","Tree Hollows","Forests","Tree Hollows","Tree Hollows,,"
"environmentalFeatures","Inland Waters","Land Use","Inland Waters","Inland Waters,,"
"environmentalFeatures","Environmental Flows","Inland Waters","Environmental Flows","Environmental flows,,"
"environmentalFeatures","Estuarine","Inland Waters","Estuarine","Estuarine,,"
"environmentalFeatures","Riverine","Inland Waters","Riverine","Riverine,,"
"environmentalFeatures","Stream/Wetland Condition","Inland Waters","Stream/Wetland Condition","Stream/Wetland Condition,,"
"environmentalFeatures","Drainage Systems","Stream/Wetland Condition","Drainage Systems","Drainage Systems,,"
"environmentalFeatures","Feral Animals","Stream/Wetland Condition","Feral Animals","Feral Animals,,"
"environmentalFeatures","Surface Water","Inland Waters","Surface Water","Surface Water,,"
"environmentalFeatures","Waterholes","Inland Waters","Waterholes","Waterholes,,"
"environmentalFeatures","Water Quality","Inland Waters","Water Quality","Water quality,,"
"environmentalFeatures","Wetlands","Inland Waters","Wetlands","Wetlands,,"
"environmentalFeatures","Intensive Agricultural Land","Land Use","Intensive Agricultural Land","Intensive Agricultural Land,,"
"environmentalFeatures","Farming System","Intensive Agricultural Land","Farming System","Farming System,,"
"environmentalFeatures","Habitat Alteration","Intensive Agricultural Land","Habitat Alteration","Habitat alteration,,"
"environmentalFeatures","Habitat Connectivity","Intensive Agricultural Land","Habitat Connectivity","Habitat Connectivity,,"
"environmentalFeatures","Invasive Species","Intensive Agricultural Land","Invasive Species","Invasive species,,"
"environmentalFeatures","Native Remnants","Intensive Agricultural Land","Native Remnants","Native Remnants,,"
"environmentalFeatures","Pest Management","Intensive Agricultural Land","Pest Management","Pest management,,"
"environmentalFeatures","Revegetation","Intensive Agricultural Land","Revegetation","Revegetation,,"
"environmentalFeatures","Roadside Vegetation","Intensive Agricultural Land","Roadside Vegetation","Roadside Vegetation,,"
"environmentalFeatures","Weed Management","Intensive Agricultural Land","Weed Management","Weed management,,"
"environmentalFeatures","Rangelands","Land Use","Rangelands","Rangelands,,"
"environmentalFeatures","Grazing Land Management","Rangelands","Grazing Land Management","Grazing Land Management,,"
"environmentalFeatures","Groundwater","Rangelands","Groundwater","Groundwater,,"
"environmentalFeatures","Groundwater","Rangelands","Groundwater","Groundwater,,"
"environmentalFeatures","Invasive Grasses","Rangelands","Invasive Grasses","Invasive Grasses,,"
"environmentalFeatures","Waterpoints","Rangelands","Waterpoints","Waterpoints,,"
"environmentalFeatures","Wildlife Harvesting","Rangelands","Wildlife Harvesting","Wildlife Harvesting,,"
"environmentalFeatures","Native Vegetation",,"Native Vegetation","Native Vegetation,,"
"environmentalFeatures","Acacia Forests and Woodlands ","Native Vegetation","Acacia Forests and Woodlands ","Acacia Forests and Woodlands ,,"
"environmentalFeatures","Acacia Open Woodlands ","Native Vegetation","Acacia Open Woodlands ","Acacia Open Woodlands ,,"
"environmentalFeatures","Acacia Shrublands ","Native Vegetation","Acacia Shrublands ","Acacia Shrublands ,,"
"environmentalFeatures","Callitris Forests and Woodlands ","Native Vegetation","Callitris Forests and Woodlands ","Callitris Forests and Woodlands ,,"
"environmentalFeatures","Casuarina Forests and Woodlands ","Native Vegetation","Casuarina Forests and Woodlands ","Casuarina Forests and Woodlands ,,"
"environmentalFeatures","Chenopod Shrublands, Samphire Shrublands And Forblands ","Native Vegetation","Chenopod Shrublands, Samphire Shrublands And Forblands ","Chenopod Shrublands, Samphire Shrublands and Forblands ,,"
"environmentalFeatures","Coastal (Mangroves, Estuaries, Dune Systems)","Native Vegetation","Coastal (Mangroves, Estuaries, Dune Systems)","Coastal (mongroves, estuaries, dune systems),,"
"environmentalFeatures","Eucalypt Low Open Forests ","Native Vegetation","Eucalypt Low Open Forests ","Eucalypt Low Open Forests ,,"
"environmentalFeatures","Eucalypt Open Forests ","Native Vegetation","Eucalypt Open Forests ","Eucalypt Open Forests ,,"
"environmentalFeatures","Eucalypt Open Woodlands ","Native Vegetation","Eucalypt Open Woodlands ","Eucalypt Open Woodlands ,,"
"environmentalFeatures","Eucalypt Tall Open Forests ","Native Vegetation","Eucalypt Tall Open Forests ","Eucalypt Tall Open Forests ,,"
"environmentalFeatures","Eucalypt Woodlands ","Native Vegetation","Eucalypt Woodlands ","Eucalypt Woodlands ,,"
"environmentalFeatures","Heathlands ","Native Vegetation","Heathlands ","Heathlands ,,"
"environmentalFeatures","Hummock Grasslands ","Native Vegetation","Hummock Grasslands ","Hummock Grasslands ,,"
"environmentalFeatures","Inland Aquatic - Freshwater, Salt Lakes, Lagoons ","Native Vegetation","Inland Aquatic - Freshwater, Salt Lakes, Lagoons ","Inland aquatic - freshwater, salt lakes, lagoons ,,"
"environmentalFeatures","Low Closed Forests and Tall Closed Shrublands ","Native Vegetation","Low Closed Forests And Tall Closed Shrublands ","Low Closed Forests and Tall Closed Shrublands ,,"
"environmentalFeatures","Mallee Open Woodlands and Sparse Mallee Shrublands ","Native Vegetation","Mallee Open Woodlands And Sparse Mallee Shrublands ","Mallee Open Woodlands and Sparse Mallee Shrublands ,,"
"environmentalFeatures","Mallee Woodlands and Shrublands ","Native Vegetation","Mallee Woodlands And Shrublands ","Mallee Woodlands and Shrublands ,,"
"environmentalFeatures","Melaleuca Forests and Woodlands ","Native Vegetation","Melaleuca Forests and Woodlands ","Melaleuca Forests and Woodlands ,,"
"environmentalFeatures","Other Forests and Woodlands ","Native Vegetation","Other Forests and Woodlands ","Other Forests and Woodlands ,,"
"environmentalFeatures","Other Grasslands, Herblands, Sedgelands And Rushlands ","Native Vegetation","Other Grasslands, Herblands, Sedgelands And Rushlands ","Other Grasslands, Herblands, Sedgelands and Rushlands ,,"
"environmentalFeatures","Other Open Woodlands ","Native Vegetation","Other Open Woodlands ","Other Open Woodlands ,,"
"environmentalFeatures","Other Shrublands ","Native Vegetation","Other Shrublands ","Other Shrublands ,,"
"environmentalFeatures","Rainforests and Vine Thickets ","Native Vegetation","Rainforests and Vine Thickets ","Rainforests and Vine Thickets ,,"
"environmentalFeatures","Regrowth, Modified Native Vegetation ","Native Vegetation","Regrowth, Modified Native Vegetation ","Regrowth, modified native vegetation ,,"
"environmentalFeatures","Sea","Native Vegetation","Sea","Sea,,"
"environmentalFeatures","Tropical Eucalypt Woodlands/Grasslands ","Native Vegetation","Tropical Eucalypt Woodlands/Grasslands ","Tropical Eucalypt Woodlands/Grasslands ,,"
"environmentalFeatures","Tussock Grasslands ","Native Vegetation","Tussock Grasslands ","Tussock Grasslands ,,"
"environmentalFeatures","None",,"None","None,,"
"environmentalFeatures","Other",,"Other","Other,,"
"environmentalFeatures","Soil",,"Soil","Soil,,"
"environmentalFeatures","Biochar","Soil","Biochar","Biochar,,"
"environmentalFeatures","Carbon Dynamics","Soil","Carbon Dynamics","Carbon Dynamics,,"
"environmentalFeatures","Invertebrates","Soil","Invertebrates","Invertebrates,,"
